service-java-1  | 	at org.springframework.aop.framework.CglibAopProxy$DynamicAdvisedInterceptor.intercept(CglibAopProxy.java:728) ~[spring-aop-6.2.7.jar!/:6.2.7]
service-java-1  | 	at com.workflow.service.impl.WorkflowModelUploadServiceImpl$$SpringCGLIB$$0.decryptModelFile(<generated>) ~[!/:0.0.1-SNAPSHOT]
service-java-1  | 	at com.workflow.service.impl.WorkflowAcceptAutoManageAsyncService.processAcceptedWorkflowAsync(WorkflowAcceptAutoManageAsyncService.java:87) ~[!/:0.0.1-SNAPSHOT]
service-java-1  | 	at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(Unknown Source) ~[na:na]
service-java-1  | 	at java.base/java.lang.reflect.Method.invoke(Unknown Source) ~[na:na]
service-java-1  | 	at org.springframework.aop.support.AopUtils.invokeJoinpointUsingReflection(AopUtils.java:359) ~[spring-aop-6.2.7.jar!/:6.2.7]
service-java-1  | 	at org.springframework.aop.framework.ReflectiveMethodInvocation.invokeJoinpoint(ReflectiveMethodInvocation.java:196) ~[spring-aop-6.2.7.jar!/:6.2.7]
service-java-1  | 	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:163) ~[spring-aop-6.2.7.jar!/:6.2.7]
service-java-1  | 	at org.springframework.aop.interceptor.AsyncExecutionInterceptor.lambda$invoke$0(AsyncExecutionInterceptor.java:114) ~[spring-aop-6.2.7.jar!/:6.2.7]
service-java-1  | 	at java.base/java.util.concurrent.FutureTask.run(Unknown Source) ~[na:na]
service-java-1  | 	at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source) ~[na:na]
service-java-1  | 	at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source) ~[na:na]
service-java-1  | 	at java.base/java.lang.Thread.run(Unknown Source) ~[na:na]
service-java-1  | 
service-java-1  | 2026-09-08T10:51:27.067+08:00  INFO 1 --- [service-java] [w-auto-manage-1] c.w.s.i.WorkflowAutoManageStatusService  : Refreshed workflow auto-manage status: workflowId=35, triggerSource=accept-async-finalize, requiredModelCount=2, completedModelCount=2, failedUploadCount=0, currentStep=联邦学习失败
service-java-1  | 2026-09-08T10:51:27.068+08:00  INFO 1 --- [service-java] [w-auto-manage-1] s.i.WorkflowAcceptAutoManageAsyncService : ACCEPT async auto-manage task completed: workflowId=35, successCount=2, failureCount=0, requiredModelCount=2, actualManagedModelCountAfterAccept=2, failedUploadCount=0, currentStep=联邦学习失败, federatedTriggered=false, failures=
service-java-1  | 2026-09-08T10:51:28.338+08:00  INFO 1 --- [service-java] [0.0-8080-exec-7] c.w.c.WorkflowModelUploadController      : workflow upload progress requested: workflowId=35, currentUserId=7
service-java-1  | 2026-09-08T10:51:29.426+08:00  INFO 1 --- [service-java] [0.0-8080-exec-8] c.w.c.WorkflowModelUploadController      : workflow upload progress requested: workflowId=35, currentUserId=6
service-java-1  | 2026-09-08T10:51:32.919+08:00  INFO 1 --- [service-java] [0.0-8080-exec-3] c.w.c.WorkflowModelUploadController      : workflow upload progress requested: workflowId=35, currentUserId=7
service-java-1  | 2026-09-08T10:51:33.112+08:00  INFO 1 --- [service-java] [0.0-8080-exec-7] c.w.c.WorkflowModelUploadController      : workflow upload progress requested: workflowId=35, currentUserId=6
service-java-1  | 2026-09-08T10:51:36.797+08:00  INFO 1 --- [service-java] [0.0-8080-exec-1] c.w.c.WorkflowModelUploadController      : workflow upload progress requested: workflowId=35, currentUserId=6
service-java-1  | 2026-09-08T10:51:37.547+08:00  INFO 1 --- [service-java] [0.0-8080-exec-9] c.w.c.WorkflowModelUploadController      : workflow upload progress requested: workflowId=35, currentUserId=7
service-java-1  | 2026-09-08T10:51:41.025+08:00  INFO 1 --- [service-java] [0.0-8080-exec-2] c.w.c.WorkflowModelUploadController      : workflow upload progress requested: workflowId=35, currentUserId=6
service-java-1  | 2026-09-08T10:51:42.924+08:00  INFO 1 --- [service-java] [0.0-8080-exec-6] c.w.c.WorkflowModelUploadController      : workflow upload progress requested: workflowId=35, currentUserId=7
service-java-1  | 2026-09-08T10:51:44.667+08:00  INFO 1 --- [service-java] [0.0-8080-exec-9] c.w.c.WorkflowModelUploadController      : workflow upload progress requested: workflowId=35, currentUserId=6
service-java-1  | 2026-09-08T10:51:46.516+08:00  INFO 1 --- [service-java] [0.0-8080-exec-7] c.w.c.WorkflowModelUploadController      : workflow upload progress requested: workflowId=35, currentUserId=7
service-java-1  | 2026-09-08T10:51:49.651+08:00  INFO 1 --- [service-java] [0.0-8080-exec-6] c.w.c.WorkflowModelUploadController      : workflow upload progress requested: workflowId=35, currentUserId=6
service-java-1  | 2026-09-08T10:51:50.806+08:00  INFO 1 --- [service-java] [0.0-8080-exec-3] c.w.c.WorkflowModelUploadController      : workflow upload progress requested: workflowId=35, currentUserId=7
